mask	sample	marker
1	ID09	rsV095
1	ID16	rsV096
1	ID11	rsV097
1	ID10	rsV098
1	ID10	rsV099
1	ID01	rsV100
1	ID19	rsV101
1	ID17	rsV102
1	ID15	rsV103
1	ID14	rsV104
1	ID15	rsV105
1	ID06	rsV106
1	ID15	rsV107
1	ID11	rsV108
1	ID05	rsV109
1	ID17	rsV110
1	ID17	rsV111
1	ID17	rsV112
1	ID18	rsV113
1	ID02	rsV114
1	ID06	rsV115
1	ID06	rsV116
1	ID06	rsV117
1	ID20	rsV118
1	ID15	rsV119
1	ID02	rsV120
1	ID10	rsV121
1	ID12	rsV122
1	ID09	rsV123
1	ID01	rsV124
1	ID02	rsV125
1	ID02	rsV126
1	ID11	rsV127
1	ID14	rsV128
1	ID02	rsV129
1	ID02	rsV130
1	ID10	rsV131
1	ID05	rsV132
1	ID10	rsV133
1	ID17	rsV134
1	ID17	rsV135
1	ID05	rsV136
1	ID03	rsV137
1	ID14	rsV138
1	ID14	rsV139
1	ID01	rsV140
1	ID05	rsV141
1	ID03	rsV142
1	ID13	rsV143
1	ID11	rsV144
1	ID20	rsV145
1	ID17	rsV146
1	ID20	rsV147
1	ID04	rsV148
1	ID20	rsV149
1	ID11	rsV150
1	ID17	rsV151
1	ID09	rsV152
1	ID17	rsV153
1	ID13	rsV154
1	ID17	rsV155
1	ID20	rsV156
1	ID01	rsV157
1	ID17	rsV158
1	ID01	rsV159
1	ID02	rsV160
1	ID08	rsV161
1	ID16	rsV162
1	ID03	rsV163
1	ID05	rsV164
1	ID13	rsV165
1	ID12	rsV166
1	ID01	rsV167
1	ID19	rsV168
1	ID05	rsV169
1	ID15	rsV170
1	ID06	rsV171
1	ID16	rsV172
1	ID10	rsV173
1	ID07	rsV174
1	ID09	rsV175
1	ID09	rsV176
1	ID03	rsV177
1	ID18	rsV178
1	ID15	rsV179
1	ID15	rsV180
1	ID20	rsV181
1	ID16	rsV182
1	ID01	rsV183
1	ID06	rsV184
1	ID11	rsV185
1	ID09	rsV186
1	ID20	rsV187
1	ID13	rsV188
1	ID05	rsV189
1	ID11	rsV190
1	ID15	rsV191
1	ID02	rsV192
1	ID06	rsV193
1	ID01	rsV194
1	ID14	rsV195
1	ID16	rsV196
1	ID17	rsV197
1	ID11	rsV198
1	ID18	rsV199
1	ID02	rsV200
2	ID10	rsV001
2	ID04	rsV002
2	ID16	rsV003
2	ID07	rsV004
2	ID18	rsV005
2	ID05	rsV006
2	ID19	rsV007
2	ID09	rsV008
2	ID12	rsV009
2	ID07	rsV010
2	ID11	rsV011
2	ID09	rsV012
2	ID19	rsV013
2	ID09	rsV014
2	ID12	rsV015
2	ID20	rsV016
2	ID04	rsV017
2	ID11	rsV018
2	ID18	rsV019
2	ID12	rsV020
2	ID07	rsV021
2	ID15	rsV022
2	ID10	rsV023
2	ID11	rsV024
2	ID19	rsV025
2	ID08	rsV026
2	ID15	rsV027
2	ID13	rsV028
2	ID20	rsV029
2	ID11	rsV030
2	ID06	rsV031
2	ID02	rsV032
2	ID03	rsV033
2	ID02	rsV034
2	ID15	rsV035
2	ID17	rsV036
2	ID05	rsV037
2	ID06	rsV038
2	ID12	rsV039
2	ID01	rsV040
2	ID14	rsV041
2	ID01	rsV042
2	ID04	rsV043
2	ID14	rsV044
2	ID06	rsV045
2	ID13	rsV046
2	ID08	rsV047
2	ID13	rsV048
2	ID05	rsV049
2	ID19	rsV050
2	ID08	rsV051
2	ID14	rsV052
2	ID02	rsV053
2	ID03	rsV054
2	ID01	rsV055
2	ID16	rsV056
2	ID12	rsV057
2	ID11	rsV058
2	ID10	rsV059
2	ID07	rsV060
2	ID20	rsV061
2	ID19	rsV062
2	ID13	rsV063
2	ID10	rsV064
2	ID10	rsV065
2	ID20	rsV066
2	ID16	rsV067
2	ID15	rsV068
2	ID03	rsV069
2	ID10	rsV070
2	ID02	rsV071
2	ID18	rsV072
2	ID19	rsV073
2	ID20	rsV074
2	ID15	rsV075
2	ID18	rsV076
2	ID11	rsV077
2	ID05	rsV078
2	ID14	rsV079
2	ID19	rsV080
2	ID20	rsV081
2	ID20	rsV082
2	ID10	rsV083
2	ID16	rsV084
2	ID02	rsV085
2	ID04	rsV086
2	ID07	rsV087
2	ID01	rsV088
2	ID15	rsV089
2	ID20	rsV090
2	ID13	rsV091
2	ID20	rsV092
2	ID06	rsV093
2	ID13	rsV094
2	ID11	rsV095
2	ID07	rsV096
2	ID20	rsV097
2	ID02	rsV098
2	ID06	rsV099
2	ID10	rsV100
2	ID11	rsV101
2	ID06	rsV102
2	ID05	rsV103
2	ID15	rsV104
2	ID10	rsV105
2	ID16	rsV106
2	ID01	rsV107
2	ID09	rsV108
2	ID11	rsV109
2	ID19	rsV110
2	ID12	rsV111
2	ID01	rsV112
2	ID11	rsV113
2	ID05	rsV114
2	ID03	rsV115
2	ID07	rsV116
2	ID05	rsV117
2	ID10	rsV118
2	ID02	rsV119
2	ID05	rsV120
2	ID09	rsV121
2	ID15	rsV122
2	ID15	rsV123
2	ID04	rsV124
2	ID19	rsV125
2	ID11	rsV126
2	ID01	rsV127
2	ID08	rsV128
2	ID06	rsV129
2	ID07	rsV130
2	ID15	rsV131
2	ID04	rsV132
2	ID09	rsV133
2	ID08	rsV134
2	ID16	rsV135
2	ID13	rsV136
2	ID11	rsV137
2	ID15	rsV138
2	ID11	rsV139
2	ID03	rsV140
2	ID17	rsV141
2	ID15	rsV142
2	ID16	rsV143
2	ID18	rsV144
2	ID06	rsV145
2	ID20	rsV146
2	ID10	rsV147
2	ID14	rsV148
2	ID06	rsV149
2	ID01	rsV150
2	ID11	rsV151
2	ID14	rsV152
2	ID10	rsV153
2	ID14	rsV154
2	ID15	rsV155
2	ID17	rsV156
2	ID17	rsV157
2	ID08	rsV158
2	ID05	rsV159
2	ID07	rsV160
2	ID11	rsV161
2	ID17	rsV162
2	ID13	rsV163
2	ID17	rsV164
2	ID20	rsV165
2	ID03	rsV166
2	ID08	rsV167
2	ID03	rsV168
2	ID11	rsV169
2	ID10	rsV170
2	ID08	rsV171
2	ID20	rsV172
2	ID14	rsV173
2	ID11	rsV174
2	ID15	rsV175
2	ID12	rsV176
2	ID14	rsV177
2	ID03	rsV178
2	ID10	rsV179
2	ID20	rsV180
2	ID02	rsV181
2	ID07	rsV182
2	ID12	rsV183
2	ID12	rsV184
2	ID01	rsV185
2	ID06	rsV186
2	ID10	rsV187
2	ID09	rsV188
2	ID13	rsV189
2	ID14	rsV190
2	ID19	rsV191
2	ID16	rsV192
2	ID01	rsV193
2	ID12	rsV194
2	ID08	rsV195
2	ID13	rsV196
2	ID14	rsV197
2	ID02	rsV198
2	ID06	rsV199
2	ID14	rsV200
3	ID03	rsV001
3	ID15	rsV002
3	ID18	rsV003
3	ID18	rsV004
3	ID14	rsV005
3	ID14	rsV006
3	ID08	rsV007
3	ID14	rsV008
3	ID06	rsV009
3	ID08	rsV010
3	ID09	rsV011
3	ID05	rsV012
3	ID09	rsV013
3	ID11	rsV014
3	ID13	rsV015
3	ID01	rsV016
3	ID17	rsV017
3	ID05	rsV018
3	ID08	rsV019
3	ID11	rsV020
3	ID12	rsV021
3	ID08	rsV022
3	ID04	rsV023
3	ID15	rsV024
3	ID17	rsV025
3	ID10	rsV026
3	ID03	rsV027
3	ID09	rsV028
3	ID17	rsV029
3	ID13	rsV030
3	ID15	rsV031
3	ID09	rsV032
3	ID09	rsV033
3	ID06	rsV034
3	ID20	rsV035
3	ID08	rsV036
3	ID19	rsV037
3	ID03	rsV038
3	ID18	rsV039
3	ID09	rsV040
3	ID20	rsV041
3	ID12	rsV042
3	ID17	rsV043
3	ID13	rsV044
3	ID03	rsV045
3	ID18	rsV046
3	ID12	rsV047
3	ID02	rsV048
3	ID09	rsV049
3	ID01	rsV050
3	ID15	rsV051
3	ID08	rsV052
3	ID12	rsV053
3	ID13	rsV054
3	ID15	rsV055
3	ID05	rsV056
3	ID02	rsV057
3	ID18	rsV058
3	ID05	rsV059
3	ID15	rsV060
3	ID05	rsV061
3	ID18	rsV062
3	ID20	rsV063
3	ID19	rsV064
3	ID20	rsV065
3	ID07	rsV066
3	ID14	rsV067
3	ID03	rsV068
3	ID13	rsV069
3	ID03	rsV070
3	ID09	rsV071
3	ID15	rsV072
3	ID01	rsV073
3	ID15	rsV074
3	ID20	rsV075
3	ID02	rsV076
3	ID06	rsV077
3	ID12	rsV078
3	ID13	rsV079
3	ID03	rsV080
3	ID19	rsV081
3	ID18	rsV082
3	ID20	rsV083
3	ID15	rsV084
3	ID01	rsV085
3	ID10	rsV086
3	ID09	rsV087
3	ID03	rsV088
3	ID12	rsV089
3	ID16	rsV090
3	ID20	rsV091
3	ID08	rsV092
3	ID11	rsV093
3	ID02	rsV094
3	ID04	rsV095
3	ID19	rsV096
3	ID13	rsV097
3	ID08	rsV098
3	ID11	rsV099
3	ID13	rsV100
3	ID12	rsV101
3	ID13	rsV102
3	ID20	rsV103
3	ID02	rsV104
3	ID07	rsV105
3	ID19	rsV106
3	ID05	rsV107
3	ID15	rsV108
3	ID01	rsV109
3	ID20	rsV110
3	ID04	rsV111
3	ID03	rsV112
3	ID08	rsV113
3	ID04	rsV114
3	ID15	rsV115
3	ID02	rsV116
3	ID04	rsV117
3	ID09	rsV118
3	ID12	rsV119
3	ID12	rsV120
3	ID16	rsV121
3	ID01	rsV122
3	ID01	rsV123
3	ID16	rsV124
3	ID12	rsV125
3	ID10	rsV126
3	ID06	rsV127
3	ID02	rsV128
3	ID11	rsV129
3	ID04	rsV130
3	ID13	rsV131
3	ID02	rsV132
3	ID18	rsV133
3	ID20	rsV134
3	ID19	rsV135
3	ID09	rsV136
3	ID09	rsV137
3	ID17	rsV138
3	ID06	rsV139
3	ID05	rsV140
3	ID01	rsV141
3	ID17	rsV142
3	ID04	rsV143
3	ID09	rsV144
3	ID01	rsV145
3	ID11	rsV146
3	ID06	rsV147
3	ID16	rsV148
3	ID10	rsV149
3	ID07	rsV150
3	ID13	rsV151
3	ID19	rsV152
3	ID12	rsV153
3	ID09	rsV154
3	ID20	rsV155
3	ID11	rsV156
3	ID02	rsV157
3	ID12	rsV158
3	ID19	rsV159
3	ID19	rsV160
3	ID09	rsV161
3	ID11	rsV162
3	ID20	rsV163
3	ID01	rsV164
3	ID06	rsV165
3	ID02	rsV166
3	ID17	rsV167
3	ID06	rsV168
3	ID01	rsV169
3	ID20	rsV170
3	ID04	rsV171
3	ID15	rsV172
3	ID07	rsV173
3	ID16	rsV174
3	ID11	rsV175
3	ID03	rsV176
3	ID08	rsV177
3	ID06	rsV178
3	ID06	rsV179
3	ID05	rsV180
3	ID19	rsV181
3	ID10	rsV182
3	ID04	rsV183
3	ID03	rsV184
3	ID10	rsV185
3	ID15	rsV186
3	ID07	rsV187
3	ID11	rsV188
3	ID19	rsV189
3	ID02	rsV190
3	ID18	rsV191
3	ID13	rsV192
3	ID08	rsV193
3	ID11	rsV194
3	ID18	rsV195
3	ID01	rsV196
3	ID10	rsV197
3	ID08	rsV198
3	ID02	rsV199
3	ID05	rsV200
